,職稱,更新日期,薪資待遇,公司名稱,工作性質,縣市,區,地址
67,(IOT)Web全端工程師-CSS,09/18更新,"月薪35,000~55,000元",華廣生技股份有限公司,全職,台中市,南區,慶街二段100號
68,QA Automation Engineer_0267*,09/18更新,待遇面議,遊戲橘子數位科技股份有限公司,全職,台北市,內湖區,瑞湖街111號
69,程式設計師（軟體開發工程師),09/03更新,"月薪40,410~50,390元",三軍總醫院基隆分院附設民眾診療服務處,全職,基隆市,中正區,正榮街100號(基隆三總醫事行政室)
70,Programmer (Java Web/SPA/Mobile),09/18更新,待遇面議,科熱臺灣有限公司,全職,台北市,中山區,復興北路150號11樓之8
71,後端工程師,09/16更新,"月薪40,000~60,000元",光立資訊有限公司,全職,台北市,中正區,忠孝東路一段83號15樓之2
72,後端工程師（Backend Engineer）,08/29更新,待遇面議,香港商易付達亞洲有限公司台灣分公司,全職,台北市,信義區,忠孝東路五段510號17樓之1
73,資深Android開發工程師｜Sr. Android Engineer,09/13更新,待遇面議,薩摩亞商動見科技股份有限公司台灣分公司,全職,台北市,大安區,仁愛路四段107號(環球企業大樓14樓)
74,JAVA 工程師｜電子商務領域 (可現場|遠端),09/16更新,待遇面議,資旅軟體開發有限公司,全職,高雄市,前金區,中正四路211號16樓之一(華國金融大樓)
75,AI工程師(AI Engineer),09/13更新,待遇面議,鉅恒投資有限公司,全職,台中市,西區,華國際大樓
76,【點點簽】Flutter 軟體工程師 Flutter Software Engineer( 台北/台南/遠端 ),09/13更新,待遇面議,凱鈿行動科技股份有限公司,全職,台南市,永康區,中華路1-4號5樓
77,儲備顧問-PLM,09/16更新,"月薪40,000元以上",薩摩亞商安盛資訊股份有限公司台灣分公司,全職,台北市,中山區,"6f-4, xinxing dist.,"
78,網站後台開發人員兼伺服器維護人員,09/12更新,待遇面議,萬里遊科技股份有限公司,全職,台北市,大同區,延平北路1段104號4樓
79,後端軟體工程師,09/09更新,待遇面議,創未來科技股份有限公司,全職,新竹市,東區,復路二段321號
80,【誠品線上】後端工程師_Golang,09/18更新,待遇面議,誠品生活股份有限公司,全職,台北市,信義區,菸廠路88號(台北文創大樓4F)
81,Java軟體工程師,09/18更新,待遇面議,穎哲資訊規劃股份有限公司,全職,台北市,文山區,羅斯福路六段136號3-1樓
82,【TenMax】[新竹/台北] 架構師/技術總監 (Architect / Technical Director),09/13更新,"月薪100,000元以上",騰學廣告科技股份有限公司,全職,台北市,大安區,基隆路二段172之1號11樓
83,Java後端工程師（台中）,09/12更新,"月薪38,000元以上",精誠隨想行動科技股份有限公司,全職,台中市,西屯區,台灣大道三段660號6樓
84,Java Backend 軟體工程師,09/16更新,待遇面議,鏈加科技有限公司,全職,台北市,松山區,復興北路57號14樓之1
85,Java後端工程師（工作地點：台南、高雄均可 ）,09/12更新,"月薪38,000元以上",精誠隨想行動科技股份有限公司,全職,高雄市,前鎮區,成功二路25號
86,Java前/後端工程師,09/06更新,待遇面議,翱騰國際科技股份有限公司,全職,台北市,內湖區,瑞光路68號3樓
87,【研究發展處】Java Back-end Web Application Engineer 後端工程師,09/18更新,待遇面議,現觀科技股份有限公司,全職,台北市,中山區,中山北路二段42號2樓
88,Java後端工程師,09/10更新,"月薪65,000元以上",歐吉科技有限公司,全職,新北市,新莊區,新北大道三段37號15樓
89,研發工程師(JAVA),09/18更新,待遇面議,臺灣網路認證股份有限公司,全職,台北市,中正區,延平南路85號10樓
90,後端工程師,09/16更新,待遇面議,欣技資訊股份有限公司,全職,台北市,大安區,敦化南路二段333號12樓(國泰敦南商業大樓)
91,【TL20 (B)】人工智慧認知理解技術研發_碩士,09/13更新,待遇面議,中華電信股份有限公司,全職,桃園市,楊梅區,電研路99號
92,【台北總部】eHRD事業群_金融暨服務事業處_後端工程師(JAVA),09/16更新,"月薪32,000~42,000元",旭聯科技股份有限公司,全職,台北市,中山區,建國北路二段137號6樓
93,資深Android開發工程師,09/18更新,待遇面議,伍豐科技股份有限公司,全職,新北市,汐止區,新台五路一段75號10樓(221)
94,MES DevOps/SRE Engineer 可靠性運維工程師_資訊處(內湖),09/17更新,待遇面議,台達電子工業股份有限公司 _DELTA ELECTRONICS INC.,全職,台北市,內湖區,瑞光路186號
95,【新鮮人專區】2024研發替代役/預聘-軟體工程師,09/09更新,待遇面議,創未來科技股份有限公司,全職,新竹市,東區,道五路三段1號7樓之8
96,Senior Backend Engineer 資深後端工程師 (Lab Team),09/16更新,待遇面議,TVBS_聯利媒體股份有限公司,全職,台北市,內湖區,瑞光路451號
97,Senior Android Engineer 資深安卓工程師 (Lab Team),09/16更新,待遇面議,TVBS_聯利媒體股份有限公司,全職,台北市,內湖區,瑞光路451號
