,職稱,更新日期,薪資待遇,公司名稱,工作性質,公司地址
440,品保專員/遊戲測試 ,11/12,"月薪30,000~45,000元",異起科技有限公司,全職,台北市松山區南京東路三段201號10F
441,資訊人員 ,11/10,"月薪35,000~40,000元",社團法人中華民國藥師公會全國聯合會,全職,台北市中山區民權東路一段67號5樓
442,System Test Engineer ,09/12,待遇面議,矽坦時脈有限公司,全職,桃園市龜山區華亞二路58-2號8F
443,軟體研發工程師 (影像處理) ,11/13,"月薪40,000~60,000元",Cino Group_偉斯股份有限公司,全職,新北市汐止區新台五路一段100號18樓B棟（東方科學園區，鄰宏碁總部）
444,【通報應變中心】資料科學工程師(台北) ,11/15,待遇面議,國家資通安全研究院,全職,台北市中正區
445,機器視覺軟體工程師(中和) ,11/13,待遇面議,嘉澤端子工業股份有限公司,全職,新北市中和區
446,軟體測試工程師 - 手動測試 ,11/17,待遇面議,鋒測科技股份有限公司,全職,新北市淡水區民權路111號3樓
447,【數據發展中心】數據資料分析師 ,11/17,待遇面議,遠見天下文化出版股份有限公司,全職,台北市中山區松江路93巷1號
448,[2024 研發替代役] System Level Test Engineer (RDSS Intern) ,11/15,待遇面議,NVIDIA_新加坡商輝達開發有限公司台灣分公司,全職,新竹市
449,經營資訊應用中心－資深資料科學家 Data Scientist ,11/15,待遇面議,華新麗華股份有限公司,全職,台北市信義區松智路1號25樓
450,Python 程式設計語言講師 (嘉義分校) ,11/17,"時薪400~1,200元",聯晟電腦有限公司,兼職,嘉義市
451,GIS圖資工程師 ,11/13,待遇面議,九福科技顧問股份有限公司,全職,台北市大同區重慶北路二段48號2
452,台灣半導體研究中心-113年研發替代役-Full-custom IC設計CAD工程師(計畫人員)_設計服務組(112-054) ,11/16,待遇面議,財團法人國家實驗研究院,全職,新竹市展業一路26號
453,【資訊系統類】資訊專案主管 ,11/12,待遇面議,全一電子股份有限公司,全職,台南市南區新樂路24-3號
454,C0281 伺服器系統軟體工程師/高級工程師(平鎮) ,11/15,"月薪36,000~60,000元",仁寶電腦工業股份有限公司,全職,桃園市平鎮區平東路659巷56號
455,C-Model Engineer (C++) ,11/14,待遇面議,耐能智慧股份有限公司,全職,台北市內湖區南京東路六段
456,數位策略創新部-Data Engineering - Manager ,11/16,待遇面議,安聯人壽保險股份有限公司(總公司),全職,台北市信義區信義路五段100號7樓
457,【薪優】AI工程師(NLP專長)(中華工程) ,11/14,待遇面議,中國石油化學工業開發股份有限公司,全職,台北市松山區東興路12號6樓
458,工研院中分院_機器人研發工程師_軟體控制(0H300) ,11/15,待遇面議,工研院 _財團法人工業技術研究院,全職,南投縣南投市文獻路2號
459,資訊工程師 ,09/12,"月薪40,000~60,000元",慶燁科技股份有限公司,全職,台北市中山區南京東路三段101號9樓
460,A7-數據暨AI應用專案管理師 ,11/15,待遇面議,意藍資訊股份有限公司,全職,台北市大安區信義路四段184號6樓
461,Software Engineer ,11/01,待遇面議,Phison Electronics Corp_群聯電子股份有限公司,全職,苗栗縣竹南鎮群義路1號
462,【風險諮詢】數位轉型服務-資料分析長期實習生 ,11/16,時薪180元,勤業眾信聯合會計師事務所,兼職 - 長期工讀,台北市信義區松仁路100號20樓
463,Quantitative Trader/ Data Scientist/ ML Engineer ,08/11,"月薪80,000~150,000元",泰錸科技有限公司,全職,台北市大安區敦化南路二段
464,61560-軟體設計工程師_Data Protection/Cloud Service(汐止/新竹) ,11/14,待遇面議,QNAP_威聯通科技股份有限公司,全職,新北市汐止區中興路22號
465,演算法開發工程師 ,11/15,待遇面議,威達高科股份有限公司,全職,新竹市研新三路4號3樓(新唐大樓內)
466,人工智能工程師 AI and Data Engineer ,11/14,待遇面議,資旅軟體開發有限公司,全職,高雄市前金區中正四路211號16樓之一(華國金融大樓)
467,數據工程師 NLP Programmer ,11/02,待遇面議,Shoalter Technology Ltd. (Member of HKTV Grp.) _英屬維京群島商易貿創投有限公司台灣分公司,全職,台北市松山區敦化北路170號5樓A室
468,【AIGC】Machine Learning Team Leader 機器學習單位主管 ,11/17,待遇面議,數碼虛擬人科技有限公司,全職,台北市中山區長春路210號2樓
469,系統軟體開發工程師 ,11/14,"月薪35,000~55,000元",久正光電股份有限公司,全職,台中市西屯區工業六路8號
470,軟體測試工程師 - HIS 系統 ,11/16,"月薪40,000~60,000元",安捷智展股份有限公司,全職,新北市永和區中和路345號19樓
